Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
136;16599;"Plant Ecology";journal;"13850237, 15735052";0,642;Q2;103;100;314;5881;573;312;1,70;58,81;Netherlands;Western Europe;"Springer Netherlands";"1986, 1996-2020";"Ecology (Q2); Plant Science (Q2)"
137;16638;"Plant Systematics and Evolution";journal;"21996881, 16156110, 03782697";0,642;Q2;74;92;273;6238;482;272;1,60;67,80;Austria;Western Europe;"Springer-Verlag Wien";"1974-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
138;21100403506;"Applications in Plant Sciences";journal;"21680450";0,640;Q2;23;97;256;4093;462;249;1,92;42,20;United States;Northern America;"John Wiley &amp; Sons Inc.";"2013-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
139;19351;"Annals of the Missouri Botanical Garden";journal;"00266493";0,639;Q2;70;17;78;2172;144;77;1,71;127,76;United States;Northern America;"Missouri Botanical Garden";"1946, 1981-1987, 1994-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
140;22875;"Journal of Forestry";journal;"00221201, 19383746";0,636;Q2;74;46;207;1933;321;170;1,43;42,02;United States;Northern America;"Society of American Foresters";"1969-1990, 1994-2020";"Forestry (Q1); Plant Science (Q2)"
141;21100924771;"Natural Products and Bioprospecting";journal;"21922209, 21922195";0,633;Q2;21;46;111;2240;375;111;2,90;48,70;Singapore;Asiatic Region;"Springer Singapore";"2011-2020";"Analytical Chemistry (Q2); Food Science (Q2); Organic Chemistry (Q2); Plant Science (Q2); Biochemistry (Q3); Pharmacology (Q3); Toxicology (Q3)"
142;26091;"Wood Science and Technology";journal;"00437719, 14325225";0,631;Q2;71;91;263;3967;665;261;2,49;43,59;Germany;Western Europe;"Springer Verlag";"1967-2020";"Forestry (Q1); Industrial and Manufacturing Engineering (Q1); Materials Science (miscellaneous) (Q2); Plant Science (Q2)"
143;13000154710;"Tropical Plant Pathology";journal;"19825676, 19832052";0,629;Q2;23;84;193;4363;344;190;1,40;51,94;Switzerland;Western Europe;"Springer International Publishing AG";"2008-2020";"Agronomy and Crop Science (Q2); Plant Science (Q2)"
144;19129;"International Journal of Plant Sciences";journal;"15375315, 10585893";0,628;Q2;88;65;191;4780;300;188;1,67;73,54;United States;Northern America;"University of Chicago";"1983, 1992-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
145;21100940340;"Forest and Society";journal;"25494333, 25494724";0,623;Q2;8;26;47;1009;120;47;2,50;38,81;Indonesia;Asiatic Region;"Universitas Hasanuddin";"2017-2020";"Forestry (Q1); Geography, Planning and Development (Q1); Nature and Landscape Conservation (Q2); Plant Science (Q2)"
146;21100913778;"Horticulturae";journal;"23117524";0,621;Q2;14;109;184;5440;569;180;2,35;49,91;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2015-2020";"Horticulture (Q1); Plant Science (Q2)"
